station,longitude,latitude,year,month,date,比湿_gkg_500hPa,比湿_gkg_700hPa,比湿_gkg_850hPa,比湿_gkg_925hPa,比湿_gkg_1000hPa,水汽通量_kg_ms_500hPa,水汽通量_kg_ms_700hPa,水汽通量_kg_ms_850hPa,水汽通量_kg_ms_925hPa,水汽通量_kg_ms_1000hPa,温度_℃_200hPa,温度_℃_500hPa,温度_℃_700hPa,温度_℃_850hPa,温度_℃_925hPa,温度_℃_1000hPa,露点温度_℃_500hPa,露点温度_℃_700hPa,露点温度_℃_850hPa,露点温度_℃_925hPa,露点温度_℃_1000hPa,风向_度_200hPa,风向_度_500hPa,风向_度_700hPa,风向_度_850hPa,风向_度_925hPa,风向_度_1000hPa,风速_ms_200hPa,风速_ms_500hPa,风速_ms_700hPa,风速_ms_850hPa,风速_ms_925hPa,风速_ms_1000hPa,K指数_℃,Showalter指数_℃,LCL高度_m_850hPa,整层水汽通量_kg_ms
Beihai,110.0,22.5,2011,6,2011-06,3.18,9.003,13.446,15.922,21.559,0.000968,0.005072,0.009145,0.008947,0.006295,-49.29,-2.76,11.51,19.91,24.27,27.74,-11.52,6.96,15.84,19.8,25.94,39.85,196.74,211.91,197.54,179.06,158.27,5.2,2.99,5.52,6.67,5.51,2.86,33.95,-15.58,509.04,0.030428
Beihai,110.0,22.5,2011,7,2011-07,2.845,7.641,12.322,14.95,21.707,0.000844,0.002044,0.003989,0.003911,0.002878,-48.96,-2.92,11.66,20.1,24.46,28.0,-12.89,4.62,14.51,18.81,26.05,80.7,127.46,192.55,198.55,188.07,180.44,9.96,2.91,2.62,3.17,2.57,1.3,30.48,-13.1,699.21,0.013666
Beihai,110.0,22.5,2011,8,2011-08,2.739,6.852,11.874,14.112,20.641,0.000465,0.00192,0.003102,0.002513,0.001356,-49.62,-3.69,11.15,19.62,23.71,27.14,-13.36,3.08,13.95,17.91,25.23,87.33,165.05,169.3,169.66,163.02,152.24,5.79,1.67,2.75,2.56,1.75,0.64,29.19,-12.27,709.32,0.009355
Beihai,110.0,22.5,2011,9,2011-09,2.702,7.991,12.205,13.783,18.809,0.001233,0.003891,0.006536,0.007439,0.005933,-49.99,-3.5,10.68,18.39,21.99,25.61,-13.53,5.25,14.36,17.55,23.73,69.66,86.93,100.86,91.42,67.21,35.13,6.47,4.48,4.78,5.25,5.29,3.09,30.83,-11.68,503.37,0.025033
Beihai,110.0,22.5,2011,10,2011-10,2.416,6.65,9.671,11.631,14.312,0.000901,0.001005,0.004332,0.007465,0.005871,-51.9,-5.42,9.16,15.04,18.36,22.02,-14.89,2.67,10.88,14.94,19.38,262.8,239.44,156.55,88.04,69.35,41.78,11.41,3.66,1.48,4.39,6.29,4.02,24.84,-4.07,520.46,0.019575
Beihai,110.0,22.5,2011,11,2011-11,1.062,4.539,8.142,9.579,11.421,0.001157,0.001298,0.003728,0.005928,0.00439,-52.01,-7.7,6.83,13.82,17.44,20.98,-24.43,-2.55,8.35,12.01,15.88,248.19,240.15,211.14,90.26,72.55,48.66,25.35,10.69,2.8,4.49,6.07,3.77,20.49,-1.47,683.88,0.016502
Beihai,110.0,22.5,2011,12,2011-12,0.651,3.917,5.164,4.145,4.782,0.001155,0.003563,0.00104,0.002854,0.002662,-51.71,-5.09,5.5,8.59,9.3,11.92,-29.75,-4.51,1.88,0.02,3.09,256.85,264.13,258.82,74.13,58.88,34.1,27.55,17.4,8.92,1.98,6.75,5.46,5.55,13.14,839.17,0.011273
Beihai,110.0,22.5,2012,1,2012-01,1.101,3.628,6.979,6.561,6.829,0.002729,0.005825,0.003492,0.002564,0.003051,-52.17,-6.54,5.47,8.58,8.76,11.7,-24.03,-5.52,6.13,6.47,8.18,251.31,261.13,258.16,224.5,96.29,61.21,33.15,24.31,15.74,4.91,3.83,4.38,10.26,7.41,306.7,0.017662
Beihai,110.0,22.5,2012,2,2012-02,0.434,2.992,7.276,7.996,8.398,0.001021,0.004642,0.005308,0.003595,0.003196,-52.73,-6.82,6.75,10.74,11.1,14.21,-33.97,-8.02,6.72,9.34,11.23,251.13,263.95,256.93,210.4,129.76,85.39,31.98,23.07,15.21,7.15,4.41,3.73,9.52,4.4,502.09,0.017762
Beihai,110.0,22.5,2012,3,2012-03,0.783,5.286,8.598,9.866,10.881,0.0015,0.006783,0.005493,0.005091,0.003825,-52.15,-6.93,7.51,13.83,15.6,18.92,-27.78,-0.49,9.14,12.45,15.13,250.18,260.53,250.89,203.62,143.36,108.43,30.08,18.79,12.58,6.26,5.06,3.45,21.9,-1.82,585.65,0.022691
Beihai,110.0,22.5,2012,4,2012-04,1.269,5.743,10.763,13.876,16.928,0.002198,0.006793,0.00824,0.006863,0.004683,-53.07,-6.33,9.28,17.83,21.04,24.17,-22.43,0.64,12.47,17.65,22.04,261.42,260.3,252.8,220.84,180.95,140.38,31.24,16.98,11.6,7.51,4.85,2.71,27.99,-10.38,670.24,0.028777
Beihai,110.0,22.5,2012,5,2012-05,2.959,8.327,12.724,15.154,20.835,0.001529,0.004424,0.006231,0.005677,0.004187,-50.15,-3.75,10.87,19.39,23.37,26.79,-12.41,5.84,15.0,19.03,25.38,301.27,243.89,228.97,193.98,155.39,119.82,3.81,5.07,5.21,4.8,3.67,1.97,33.1,-14.23,549.35,0.022048
Beihai,110.0,22.5,2012,6,2012-06,4.35,9.662,14.079,16.642,22.144,0.001116,0.003714,0.004453,0.003159,0.001362,-48.93,-2.48,11.71,19.82,23.88,27.69,-7.55,7.98,16.54,20.5,26.38,22.88,255.96,243.71,218.72,195.9,174.29,6.89,2.52,3.77,3.1,1.86,0.6,35.11,-16.8,409.52,0.013803
Beihai,110.0,22.5,2012,7,2012-07,3.03,8.182,12.665,15.122,21.429,0.00095,0.004177,0.007583,0.007276,0.005499,-49.06,-3.16,11.62,19.74,23.86,27.51,-12.12,5.59,14.92,18.99,25.84,66.36,157.44,188.62,186.85,174.89,159.04,10.97,3.08,5.01,5.87,4.72,2.52,31.79,-13.84,601.99,0.025486
Beihai,110.0,22.5,2012,8,2012-08,3.11,7.863,12.363,15.047,21.241,0.000768,0.001159,0.001736,0.000981,0.000628,-48.91,-3.0,11.3,20.04,24.19,27.58,-11.79,5.02,14.56,18.91,25.7,73.84,70.22,79.23,95.83,63.03,313.6,8.91,2.42,1.45,1.38,0.64,0.29,31.32,-13.23,685.4,0.005273
Beihai,110.0,22.5,2012,9,2012-09,2.822,7.482,10.631,12.615,18.195,0.000109,0.000599,0.002783,0.004615,0.004067,-51.01,-3.84,10.37,17.56,21.33,24.97,-12.99,4.32,12.28,16.18,23.19,32.74,324.64,136.55,94.24,76.62,44.26,7.86,0.38,0.79,2.57,3.59,2.19,27.63,-7.3,659.56,0.012173
Beihai,110.0,22.5,2012,10,2012-10,1.451,6.09,9.189,11.67,14.513,0.000523,0.000445,0.003501,0.005427,0.004035,-51.34,-4.34,9.26,15.77,19.88,23.91,-20.9,1.45,10.12,14.99,19.6,264.0,267.4,204.78,110.04,93.9,77.29,6.21,3.53,0.72,3.74,4.56,2.73,22.42,-2.52,706.25,0.013931
Beihai,110.0,22.5,2012,11,2012-11,1.6,5.854,10.153,10.811,12.686,0.002767,0.006295,0.005232,0.00464,0.003939,-52.59,-6.66,7.99,14.5,16.54,19.99,-19.77,0.9,11.6,13.83,17.5,268.95,263.57,257.35,209.91,129.02,86.8,31.74,16.96,10.55,5.05,4.21,3.04,25.67,-5.96,362.57,0.022872
Beihai,110.0,22.5,2012,12,2012-12,0.765,3.75,7.743,7.805,8.942,0.0018,0.005057,0.002925,0.003145,0.003385,-52.83,-6.47,5.79,10.74,12.05,15.3,-28.03,-5.09,7.62,8.98,12.17,264.14,268.36,260.16,217.21,99.32,62.4,37.34,23.07,13.22,3.7,3.95,3.71,13.96,3.63,389.79,0.016312
Beihai,110.0,22.5,2013,1,2013-01,0.549,3.065,6.541,6.399,6.685,0.001407,0.003777,0.002596,0.002106,0.002176,-52.53,-6.3,5.08,8.41,9.7,12.98,-31.55,-7.71,5.2,6.11,7.87,254.06,265.27,266.39,220.94,110.12,68.5,37.82,25.13,12.08,3.89,3.23,3.19,7.12,8.84,401.17,0.012061
Beihai,110.0,22.5,2013,2,2013-02,1.047,3.498,8.743,9.474,9.911,0.001835,0.004375,0.006039,0.004912,0.003646,-52.33,-6.26,8.63,12.7,14.18,17.69,-24.59,-6.0,9.39,11.85,13.71,249.61,259.0,255.07,214.53,153.49,121.97,28.13,17.19,12.26,6.77,5.08,3.61,13.72,-0.42,413.65,0.020806
Beihai,110.0,22.5,2013,3,2013-03,0.707,4.626,9.124,10.282,11.981,0.001364,0.00534,0.004916,0.004516,0.00391,-51.37,-8.13,6.85,15.03,17.3,20.6,-28.87,-2.3,10.02,13.07,16.61,257.43,263.35,260.95,215.52,152.78,125.97,42.92,18.92,11.32,5.28,4.31,3.2,24.03,-5.44,626.75,0.020045
Beihai,110.0,22.5,2013,4,2013-04,1.351,6.155,10.772,12.483,14.588,0.002365,0.007164,0.006641,0.004969,0.003962,-51.58,-6.31,9.09,15.83,18.72,22.23,-21.72,1.59,12.48,16.02,19.68,261.38,264.12,260.27,218.82,160.08,118.97,33.7,17.17,11.41,6.05,3.9,2.66,27.13,-8.42,418.46,0.025101
Beihai,110.0,22.5,2013,5,2013-05,2.929,7.437,12.101,14.542,20.136,0.003014,0.006694,0.008506,0.007019,0.005254,-50.12,-4.51,10.44,18.95,22.87,26.04,-12.53,4.24,14.23,18.38,24.83,273.26,254.6,246.92,220.65,188.63,152.03,11.26,10.09,8.83,6.89,4.73,2.56,31.49,-12.99,589.65,0.030487
Beihai,110.0,22.5,2013,6,2013-06,3.341,7.941,12.969,15.6,21.068,0.000839,0.003537,0.006399,0.005941,0.004219,-49.02,-3.05,11.71,19.31,23.6,27.15,-10.9,5.16,15.29,19.48,25.57,65.91,198.21,210.09,198.06,174.93,149.39,5.59,2.46,4.37,4.84,3.73,1.96,31.1,-14.06,502.99,0.020935
Beihai,110.0,22.5,2013,7,2013-07,3.501,8.034,12.229,14.938,20.974,0.001413,0.004863,0.008593,0.008689,0.006338,-49.32,-3.49,11.14,19.17,23.21,27.02,-10.31,5.33,14.39,18.8,25.49,72.91,149.48,182.7,181.0,165.79,149.37,11.84,3.96,5.94,6.89,5.7,2.96,31.24,-12.51,597.23,0.029897
Beihai,110.0,22.5,2013,8,2013-08,3.47,8.133,12.888,15.378,21.525,0.001243,0.002858,0.003921,0.002904,0.00169,-49.31,-3.42,11.44,19.94,24.05,27.56,-10.42,5.5,15.19,19.25,25.91,84.47,126.9,151.2,154.81,152.33,142.39,5.5,3.51,3.45,2.98,1.85,0.77,32.61,-14.86,593.76,0.012617
Beihai,110.0,22.5,2013,9,2013-09,2.718,7.414,11.852,14.137,19.48,0.000918,0.002823,0.00557,0.006824,0.005559,-50.29,-3.93,10.5,18.52,22.26,25.94,-13.45,4.19,13.92,17.94,24.29,46.09,107.4,106.49,86.52,66.47,34.37,2.6,3.31,3.73,4.61,4.73,2.8,30.06,-11.36,575.2,0.021693
Beihai,110.0,22.5,2013,10,2013-10,2.108,6.545,8.092,9.874,13.506,0.001052,0.000743,0.00413,0.006289,0.005251,-51.43,-5.11,8.35,15.04,19.08,22.59,-16.53,2.45,8.26,12.46,18.47,261.37,275.86,4.12,62.77,54.58,28.51,9.19,4.9,1.11,5.0,6.25,3.81,22.51,0.08,847.71,0.017464
Beihai,110.0,22.5,2013,11,2013-11,1.121,5.894,7.961,8.407,10.363,0.001488,0.00282,0.002961,0.005321,0.004328,-52.2,-5.94,6.59,12.79,15.6,19.02,-23.83,1.0,8.02,10.07,14.39,263.72,269.43,253.53,106.89,76.68,48.76,25.32,13.02,4.69,3.65,6.21,4.1,21.16,1.7,595.9,0.016919
Beihai,110.0,22.5,2013,12,2013-12,1.109,2.472,4.243,4.036,5.165,0.002763,0.002487,0.001065,0.002417,0.002439,-51.89,-6.63,5.09,6.67,8.82,12.1,-23.95,-10.44,-0.82,-0.35,4.17,257.31,264.93,271.92,53.92,54.5,32.39,38.24,24.44,9.87,2.46,5.87,4.63,-3.05,15.54,936.51,0.011171
Beihai,110.0,22.5,2014,1,2014-01,0.472,1.63,5.095,5.562,6.211,0.001071,0.001594,0.000902,0.001753,0.001552,-52.39,-7.49,5.67,7.98,11.14,14.75,-33.11,-15.57,1.69,4.11,6.81,253.01,276.09,277.37,193.32,112.25,82.5,33.7,22.26,9.59,1.74,3.09,2.45,-4.08,11.47,786.2,0.006872
Beihai,110.0,22.5,2014,2,2014-02,0.518,3.278,7.047,7.283,8.114,0.001371,0.00501,0.00418,0.002991,0.002593,-52.17,-6.03,5.1,9.6,10.64,13.85,-32.15,-6.84,6.26,7.97,10.72,267.36,272.41,263.49,217.74,137.72,99.55,33.83,25.96,14.99,5.82,4.03,3.13,9.95,6.8,416.92,0.016145
Beihai,110.0,22.5,2014,3,2014-03,0.761,4.842,9.595,10.273,11.095,0.001711,0.006987,0.007001,0.005078,0.003921,-52.11,-8.63,7.13,13.9,15.11,18.49,-28.08,-1.68,10.76,13.06,15.43,259.43,266.54,261.1,218.76,153.54,116.93,39.36,22.05,14.15,7.16,4.85,3.47,24.48,-6.0,392.45,0.024699
Beihai,110.0,22.5,2014,4,2014-04,1.228,6.572,11.78,13.144,15.679,0.001478,0.006268,0.00705,0.006944,0.005501,-51.77,-5.97,9.13,16.29,19.51,23.32,-22.8,2.5,13.83,16.82,20.82,260.08,262.16,258.65,203.07,157.89,129.1,25.9,11.8,9.35,5.87,5.18,3.44,29.46,-11.01,307.72,0.027241
Beihai,110.0,22.5,2014,5,2014-05,2.593,7.976,12.891,15.111,20.31,0.002488,0.00774,0.010171,0.008517,0.005736,-50.68,-4.31,10.56,19.35,23.19,26.24,-14.03,5.23,15.19,18.98,24.97,279.52,259.47,245.94,217.97,188.95,151.77,10.52,9.41,9.52,7.74,5.53,2.77,33.52,-15.17,519.5,0.034652
Beihai,110.0,22.5,2014,6,2014-06,3.814,9.278,13.865,16.543,22.557,0.000652,0.003134,0.004764,0.004017,0.002756,-48.2,-2.34,12.3,20.52,24.62,28.21,-9.23,7.39,16.31,20.4,26.68,34.53,225.24,227.69,204.74,181.68,146.58,4.75,1.68,3.31,3.37,2.38,1.2,34.26,-16.84,526.53,0.015322
Beihai,110.0,22.5,2014,7,2014-07,3.032,8.167,13.057,15.402,22.209,0.001206,0.003878,0.006127,0.005543,0.003964,-48.77,-2.95,12.0,20.47,24.64,28.24,-12.11,5.56,15.39,19.28,26.43,55.4,151.86,166.08,171.38,167.07,150.95,5.56,3.9,4.66,4.6,3.53,1.75,32.37,-15.35,635.22,0.020719
Beihai,110.0,22.5,2014,8,2014-08,3.413,8.542,13.121,15.441,21.646,0.00072,0.003187,0.00542,0.004885,0.003318,-49.44,-3.13,11.39,19.86,23.85,27.48,-10.63,6.2,15.46,19.32,26.01,68.25,138.92,198.48,196.2,191.53,172.36,11.44,2.07,3.66,4.05,3.1,1.5,33.27,-15.08,549.57,0.017531
Beihai,110.0,22.5,2014,9,2014-09,2.5115,7.5339,12.1315,14.1748,19.9045,0.000648,0.001649,0.003002,0.002967,0.001998,-50.29,-3.35,10.98,18.9,23.2,26.68,-14.42,4.42,14.27,17.98,24.64,93.12,119.28,145.76,131.7,112.64,81.59,6.37,2.53,2.15,2.43,2.05,0.98,29.96,-11.86,578.63,0.010264
Beihai,110.0,22.5,2014,10,2014-10,1.4742,4.8937,9.5353,11.5813,15.6905,0.00045,0.000331,0.003005,0.004799,0.00372,-51.54,-4.89,9.46,15.75,20.35,24.08,-20.72,-1.54,10.67,14.87,20.83,256.57,259.34,50.8,91.21,82.21,55.17,9.97,2.99,0.66,3.09,4.06,2.33,20.29,-3.89,634.97,0.012305
Beihai,110.0,22.5,2014,11,2014-11,0.9853,5.6549,9.6394,10.3849,12.3157,0.001681,0.004642,0.002654,0.004319,0.004029,-52.38,-5.18,6.61,13.15,16.31,20.03,-25.27,0.43,10.83,13.22,17.04,272.08,265.18,252.08,188.15,102.96,65.93,25.17,16.73,8.05,2.7,4.08,3.21,22.98,-1.93,289.96,0.017325
Beihai,110.0,22.5,2014,12,2014-12,0.636,3.7881,5.7382,5.2072,5.9859,0.001339,0.003974,0.00078,0.003196,0.003076,-52.42,-5.27,6.23,8.72,9.44,12.48,-30.0,-4.95,3.35,3.18,6.28,261.13,271.11,262.58,111.01,65.16,35.15,31.97,20.65,10.29,1.33,6.02,5.04,6.16,11.48,671.79,0.012366
Beihai,110.0,22.5,2015,1,2015-01,0.9485,2.3542,5.5784,6.1175,6.8761,0.001928,0.002239,0.001035,0.00238,0.002063,-52.85,-7.81,6.39,8.35,11.02,14.46,-25.68,-11.06,2.95,5.46,8.28,247.51,264.19,266.17,176.19,101.51,74.44,36.41,19.93,9.33,1.82,3.81,2.94,1.67,9.66,674.3,0.009644
Beihai,110.0,22.5,2015,2,2015-02,0.6964,3.1053,7.7155,8.7,9.971,0.001753,0.003883,0.004628,0.004021,0.003365,-53.39,-9.19,3.84,10.81,13.36,16.73,-29.03,-7.54,7.57,10.58,13.81,257.07,264.13,263.58,220.27,156.41,117.01,46.0,24.68,12.26,5.88,4.53,3.31,16.19,0.92,404.4,0.017649
Beihai,110.0,22.5,2015,3,2015-03,0.7937,4.7649,10.1753,11.3816,12.4385,0.001408,0.005898,0.008159,0.006769,0.005137,-53.65,-6.71,7.97,14.57,16.44,19.97,-27.63,-1.9,11.63,14.61,17.19,257.97,262.93,258.89,213.0,160.73,125.19,32.52,17.4,12.14,7.86,5.83,4.05,23.04,-6.13,367.66,0.027371
Beihai,110.0,22.5,2015,4,2015-04,1.5287,5.3987,9.7434,11.2745,13.0756,0.00229,0.005273,0.004881,0.003596,0.003109,-52.41,-6.49,8.55,16.48,19.35,22.87,-20.3,-0.21,10.99,14.47,17.97,276.02,264.22,260.05,228.42,169.35,136.9,30.5,14.69,9.58,4.91,3.13,2.33,25.2,-6.72,687.0,0.019149
Beihai,110.0,22.5,2015,5,2015-05,2.6894,8.1191,13.6514,16.0691,21.0987,0.002812,0.008618,0.011982,0.009658,0.006379,-50.25,-3.54,11.05,20.03,23.88,26.8,-13.58,5.48,16.07,19.94,25.59,273.6,261.44,247.74,223.18,196.39,157.55,9.58,10.25,10.41,8.61,5.89,2.97,34.07,-17.0,494.99,0.039449
Beihai,110.0,22.5,2015,6,2015-06,3.0138,8.3643,13.2189,15.8697,22.0861,0.001338,0.006812,0.012163,0.011503,0.008211,-48.83,-2.72,12.07,20.53,24.65,27.93,-12.18,5.9,15.58,19.75,26.33,69.0,207.48,223.98,208.59,189.83,168.11,7.9,4.35,7.99,9.02,7.11,3.65,32.65,-15.59,618.98,0.040027
Beihai,110.0,22.5,2015,7,2015-07,3.5675,8.9073,13.5257,16.2576,21.3959,0.00048,0.002547,0.003512,0.003318,0.002032,-48.35,-2.67,11.53,19.45,23.48,27.22,-10.08,6.8,15.93,20.13,25.82,39.74,212.17,223.18,224.11,224.27,217.68,4.92,1.32,2.8,2.55,2.0,0.93,33.32,-15.23,440.47,0.011888
Beihai,110.0,22.5,2015,8,2015-08,3.4567,7.211,12.1648,14.6756,21.1476,0.000597,0.001971,0.002562,0.001765,0.001311,-49.61,-3.35,11.36,20.01,24.33,27.58,-10.47,3.8,14.31,18.52,25.63,35.87,244.52,231.32,212.05,204.69,210.89,5.27,1.69,2.68,2.07,1.18,0.61,30.11,-13.05,711.75,0.008207
Beihai,110.0,22.5,2015,9,2015-09,2.8312,8.6088,12.8938,14.8877,20.5219,0.000268,0.001603,0.003018,0.003319,0.002278,-50.21,-3.38,11.16,18.97,22.92,26.58,-12.95,6.31,15.2,18.75,25.14,53.05,145.16,214.25,171.25,128.83,84.73,7.11,0.93,1.83,2.3,2.19,1.09,32.7,-13.86,471.87,0.010486
Beihai,110.0,22.5,2015,10,2015-10,2.1954,6.7023,9.6311,11.786,15.6967,0.000916,0.000844,0.002881,0.004662,0.003835,-50.62,-4.38,9.29,16.12,20.14,23.78,-16.04,2.78,10.81,15.14,20.84,246.9,257.75,236.78,89.09,74.54,44.6,9.89,4.09,1.23,2.93,3.88,2.4,24.8,-3.98,662.84,0.013137
Beihai,110.0,22.5,2015,11,2015-11,1.4243,5.8039,9.8156,11.0946,13.9765,0.001831,0.004321,0.004428,0.005674,0.004784,-52.48,-6.04,8.04,14.75,17.88,21.48,-21.11,0.78,11.1,14.22,19.01,277.4,256.84,244.01,180.27,121.73,86.44,25.7,12.6,7.3,4.42,5.02,3.36,24.63,-4.76,456.66,0.021037
Beihai,110.0,22.5,2015,12,2015-12,1.0045,4.9769,7.6276,7.666,8.6565,0.002289,0.006188,0.002236,0.002955,0.00351,-52.67,-6.96,5.55,10.05,11.11,14.28,-25.05,-1.31,7.4,8.72,11.68,257.66,257.88,254.64,217.95,83.2,47.17,38.45,22.35,12.19,2.87,3.78,3.98,17.55,4.07,330.25,0.017178
Beihai,110.0,22.5,2016,1,2016-01,0.9574,4.3981,7.3877,7.7354,9.0082,0.002673,0.007083,0.003913,0.002532,0.00336,-52.07,-9.26,4.05,9.66,10.7,13.74,-25.58,-2.97,6.94,8.85,12.28,260.7,255.42,250.48,220.97,109.25,63.54,51.48,27.38,15.79,5.19,3.21,3.66,18.84,2.71,339.92,0.019562
Beihai,110.0,22.5,2016,2,2016-02,0.7107,3.2291,5.0117,5.2618,6.0926,0.001939,0.00385,0.000908,0.001356,0.001722,-52.44,-5.39,4.37,8.51,10.07,13.53,-28.82,-7.03,1.46,3.33,6.53,266.28,270.64,268.58,248.89,63.39,42.43,41.18,26.76,11.69,1.78,2.53,2.77,3.96,13.27,881.62,0.009775
Beihai,110.0,22.5,2016,3,2016-03,0.8363,4.8299,8.5946,9.3618,10.2361,0.002065,0.006776,0.005253,0.00361,0.003243,-52.06,-7.86,6.49,12.76,14.51,17.55,-27.06,-1.72,9.14,11.67,14.2,268.43,269.9,266.27,227.87,154.7,113.43,50.11,24.21,13.76,5.99,3.78,3.11,21.55,-1.71,451.97,0.020948
Beihai,110.0,22.5,2016,4,2016-04,1.2212,6.802,11.4413,13.6479,16.1223,0.002101,0.009742,0.010548,0.00862,0.006109,-51.86,-6.33,9.93,18.54,21.31,24.05,-22.87,2.98,13.39,17.4,21.26,262.05,261.71,255.53,223.34,186.57,150.66,31.75,16.87,14.05,9.04,6.19,3.72,31.31,-12.76,644.59,0.03712
Beihai,110.0,22.5,2016,5,2016-05,2.8123,7.4028,12.0748,14.7909,19.289,0.002895,0.006283,0.008125,0.007364,0.005299,-49.83,-3.73,11.28,18.74,22.38,25.61,-13.04,4.17,14.2,18.65,24.14,284.66,260.15,250.3,214.2,178.14,145.08,18.48,10.1,8.32,6.6,4.88,2.69,29.55,-11.93,566.92,0.029966
Beihai,110.0,22.5,2016,6,2016-06,3.0871,8.0016,12.7864,15.3995,22.0484,0.001499,0.005625,0.008872,0.008758,0.007025,-49.07,-3.2,11.99,20.42,24.38,27.85,-11.88,5.27,15.07,19.28,26.31,60.79,224.56,222.27,210.75,190.4,163.34,3.97,4.76,6.89,6.8,5.58,3.12,31.97,-14.87,669.1,0.031779
Beihai,110.0,22.5,2016,7,2016-07,2.9257,7.3967,12.4948,15.4416,22.1756,0.000864,0.003895,0.008774,0.009515,0.008003,-49.17,-3.4,12.06,20.67,24.67,28.22,-12.55,4.16,14.72,19.32,26.4,66.96,160.1,200.86,200.3,189.18,174.09,6.48,2.89,5.16,6.89,6.04,3.54,30.89,-14.59,744.69,0.03105
Beihai,110.0,22.5,2016,8,2016-08,3.7089,9.2391,13.6013,16.0318,21.9609,0.001453,0.001391,0.001648,0.000597,0.000788,-48.09,-2.27,12.12,20.15,24.4,27.92,-9.59,7.33,16.01,19.91,26.24,72.95,85.9,88.22,91.05,50.02,296.98,8.09,3.84,1.48,1.19,0.37,0.35,33.64,-15.72,517.38,0.005878
Beihai,110.0,22.5,2016,9,2016-09,2.7698,8.5581,12.0807,14.4376,19.7441,0.000348,0.001246,0.003775,0.004693,0.003793,-49.56,-2.58,11.1,18.52,22.68,26.33,-13.22,6.23,14.21,18.27,24.51,42.12,32.07,357.89,39.85,33.68,5.63,1.92,1.23,1.43,3.06,3.19,1.88,30.44,-10.59,539.66,0.013855
Beihai,110.0,22.5,2016,10,2016-10,2.0468,6.8727,11.5066,13.4561,17.3813,0.000518,0.001906,0.00582,0.00768,0.005913,-50.18,-3.7,10.35,17.13,20.67,24.53,-16.88,3.13,13.47,17.18,22.46,214.19,164.75,116.59,87.49,65.68,38.62,3.1,2.48,2.72,4.96,5.6,3.34,27.08,-8.9,456.81,0.021837
Beihai,110.0,22.5,2016,11,2016-11,1.2745,6.0236,9.1867,10.1571,12.3362,0.001366,0.00422,0.002943,0.004512,0.004216,-51.7,-5.31,8.84,14.15,15.84,19.27,-22.38,1.3,10.12,12.89,17.07,262.9,254.96,235.96,163.21,94.33,57.24,21.24,10.51,6.87,3.14,4.36,3.35,22.04,-1.93,503.95,0.017257
Beihai,110.0,22.5,2016,12,2016-12,0.587,4.6517,6.5619,6.8905,8.1383,0.000924,0.003787,0.001289,0.003404,0.003161,-51.7,-5.84,5.81,11.87,13.68,16.71,-30.85,-2.22,5.24,7.17,10.76,257.52,261.01,250.28,149.39,86.06,52.9,31.29,15.43,7.98,1.93,4.85,3.81,14.92,6.03,827.73,0.012565
Beihai,110.0,22.5,2017,1,2017-01,1.112,3.9292,7.733,8.0855,8.7916,0.001935,0.00392,0.002821,0.003949,0.003287,-52.55,-6.84,7.31,10.97,13.2,16.38,-23.92,-4.47,7.6,9.5,11.91,246.21,259.09,250.59,176.85,106.4,71.48,31.93,17.06,9.78,3.58,4.79,3.67,13.63,3.07,421.23,0.015912
Beihai,110.0,22.5,2017,2,2017-02,0.4458,2.8876,6.7977,7.094,7.8717,0.000983,0.003104,0.002296,0.002861,0.002654,-51.54,-8.58,5.57,9.49,12.08,15.85,-33.69,-8.47,5.75,7.59,10.27,248.07,269.79,262.92,198.45,117.4,84.42,39.01,21.63,10.54,3.31,3.96,3.31,9.77,4.95,467.1,0.011898
Beihai,110.0,22.5,2017,3,2017-03,0.9456,5.1724,9.686,10.499,11.9573,0.002023,0.006882,0.006422,0.005327,0.004187,-52.33,-7.79,6.79,13.52,15.6,19.23,-25.72,-0.79,10.9,13.39,16.58,253.71,264.04,257.88,209.19,147.89,110.49,38.61,20.98,13.05,6.5,4.98,3.43,24.64,-5.02,327.96,0.024841
Beihai,110.0,22.5,2017,4,2017-04,1.6597,6.0743,10.2135,12.0948,13.9983,0.002762,0.006944,0.006206,0.004916,0.003649,-51.73,-5.51,8.95,15.92,19.18,23.07,-19.35,1.41,11.69,15.54,19.03,267.48,259.81,255.55,224.2,177.14,143.31,27.43,16.32,11.21,5.96,3.99,2.56,25.57,-6.34,528.85,0.024478
Beihai,110.0,22.5,2017,5,2017-05,2.4151,7.2766,11.7999,13.8696,18.2376,0.002306,0.004373,0.00377,0.003849,0.003122,-50.3,-3.85,10.24,17.73,21.63,25.29,-14.89,3.93,13.85,17.65,23.23,279.33,265.57,256.34,207.2,153.51,110.88,18.1,9.36,5.89,3.13,2.72,1.68,29.11,-10.36,484.37,0.01742
Beihai,110.0,22.5,2017,6,2017-06,3.9105,8.5096,13.3785,16.2862,22.4579,0.002576,0.00733,0.01113,0.010673,0.00746,-49.06,-3.09,12.08,20.35,24.24,27.83,-8.91,6.15,15.76,20.16,26.61,3.71,236.19,226.92,210.55,190.99,165.53,3.1,6.46,8.45,8.16,6.43,3.26,33.26,-16.18,573.72,0.03917
